City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Eldorado,0,BR,1583117713,70,-23.79,-54.28,292.49,1.12
Rawson,0,AR,1583117713,69,-43.3,-65.1,293.34,2.98
Traralgon,54,AU,1583117713,55,-38.18,146.53,293.15,2.68
East London,1,ZA,1583117713,83,-33.02,27.91,294.48,5.73
Katsuura,75,JP,1583117713,100,35.13,140.3,282.04,5.1
Gayny,99,RU,1583117713,93,60.31,54.32,266.25,3.09
Muborak,0,UZ,1583117713,55,39.26,65.15,285.9,3.64
Pevek,100,RU,1583117713,94,69.7,170.31,254.72,3.99
Ilulissat,89,GL,1583117714,42,69.22,-51.1,247.15,1.5
Los Llanos de Aridane,20,ES,1583117714,72,28.66,-17.92,292.15,2.6
Abnūb,0,EG,1583117714,76,27.27,31.15,282.15,3.6
Meulaboh,100,ID,1583117714,79,4.14,96.13,301.44,3.35
Chokurdakh,89,RU,1583117714,90,70.63,147.92,255.15,6.07
Carnarvon,0,AU,1583117714,70,-24.87,113.63,304.15,4.1
Hwange,100,ZW,1583117714,77,-18.37,26.5,292.06,3.2
Fallon,75,US,1583117714,44,39.47,-118.78,277.15,4.6
Río Gallegos,75,AR,1583117437,59,-51.62,-69.22,291.15,4.6
Praia da Vitória,40,PT,1583117714,88,38.73,-27.07,290.15,8.06
Palmerston,20,AU,1583117715,62,-12.49,130.98,306.48,5.1
San Patricio,5,MX,1583117715,73,19.22,-104.7,298.15,4.1
Berlevåg,100,NO,1583117715,59,70.86,29.09,270.19,3.51
Nikolskoye,75,RU,1583117715,86,59.7,30.79,276.48,3.0
Luganville,75,VU,1583117715,74,-15.53,167.17,304.15,3.6
Saint Paul Harbor,90,US,1583117715,74,57.79,-152.41,276.15,3.1
Hobart,40,AU,1583117715,38,-42.88,147.33,289.82,5.1
Kapaa,75,US,1583117501,69,22.08,-159.32,301.15,11.3
Oistins,20,BB,1583117715,69,13.07,-59.53,298.15,7.2
Bethel,1,US,1583117715,63,41.37,-73.41,274.26,1.5
Lagunas,97,PE,1583117715,97,-5.23,-75.68,295.91,1.05
Saint-Philippe,20,RE,1583117716,78,-21.36,55.77,299.15,1.0
Ambikāpur,48,IN,1583117716,39,23.12,83.2,296.89,2.79
Liverpool,0,GB,1583117716,100,53.41,-2.98,275.15,1.0
Itoman,20,JP,1583117716,64,26.12,127.67,296.15,5.7
Yellowknife,90,CA,1583117716,76,62.46,-114.35,253.15,6.7
Talas,0,TR,1583117716,86,38.69,35.55,270.15,2.1
Darhan,65,MN,1583117716,71,49.49,105.92,260.44,0.76
Prince George,90,CA,1583117716,86,53.92,-122.75,271.15,10.3
Saskylakh,100,RU,1583117716,67,71.92,114.08,262.34,11.9
‘Ewa Beach,75,US,1583117716,60,21.32,-158.01,299.15,8.7
Lagoa,33,PT,1583117717,88,39.05,-27.98,290.27,8.76
Masvingo,80,ZW,1583117717,95,-20.06,30.83,286.46,1.82
Codrington,0,AU,1583117717,63,-38.27,141.97,286.67,7.14
Ponta do Sol,20,PT,1583117717,77,32.67,-17.1,290.15,3.1
Port Alfred,56,ZA,1583117644,91,-33.59,26.89,289.82,2.17
Khatanga,100,RU,1583117717,83,71.97,102.5,266.09,7.4
Salinópolis,100,BR,1583117717,81,-0.61,-47.36,300.49,5.61
La Ronge,5,CA,1583117717,71,55.1,-105.28,260.15,3.1
Antofagasta,90,CL,1583117650,77,-23.65,-70.4,293.15,4.6
High Level,90,CA,1583117717,78,58.52,-117.14,261.15,2.6
Balikpapan,40,ID,1583117676,70,-1.27,116.83,305.15,4.6
Algiers,67,DZ,1583117475,87,36.75,3.04,281.15,2.1
Ulladulla,40,AU,1583117718,14,-35.35,150.47,308.15,7.7
Mar del Plata,0,AR,1583117677,88,-38.0,-57.56,297.04,5.1
Touros,75,BR,1583117718,94,-5.2,-35.46,298.15,1.0
Māngrol,0,IN,1583117718,61,21.12,70.12,296.9,4.87
Areia Branca,100,BR,1583117718,82,-4.96,-37.14,299.48,4.2
Dicabisagan,1,PH,1583117718,66,17.08,122.42,299.17,2.3
Las Cruces,1,US,1583117709,34,32.31,-106.78,289.82,3.2
Butaritari,100,KI,1583117718,78,3.07,172.79,301.6,9.85
Tura,0,IN,1583117718,36,25.52,90.22,300.9,0.52
São Filipe,99,CV,1583117718,64,14.9,-24.5,295.29,11.37
Yumen,0,CN,1583117719,26,40.28,97.2,277.25,3.64
Dingzhou,100,CN,1583117719,55,38.51,115.0,277.15,1.0
Sakaraha,58,MG,1583117719,84,-22.9,44.53,291.32,1.95
Cherskiy,99,RU,1583117719,88,68.75,161.3,255.98,2.36
Kargopol',95,RU,1583117719,88,61.51,38.95,274.06,5.16
Tuktoyaktuk,75,CA,1583117719,75,69.45,-133.04,244.15,3.6
Tignère,59,CM,1583117719,26,7.37,12.65,293.9,0.99
Arica,5,CL,1583117629,73,-18.48,-70.3,295.15,2.1
Hasaki,75,JP,1583117719,93,35.73,140.83,280.15,8.2
Aligoodarz,1,IR,1583117719,82,33.4,49.69,272.28,1.64
Avarua,45,CK,1583117719,83,-21.21,-159.78,302.15,1.5
Rosário do Sul,0,BR,1583117719,54,-30.26,-54.91,294.11,5.37
Sittwe,0,MM,1583117720,59,20.15,92.9,295.14,2.67
Kabare,100,CD,1583117720,98,-2.47,28.82,288.92,1.23
Waitati,30,NZ,1583117720,74,-45.75,170.57,292.04,8.05
Rome,40,US,1583117551,63,43.21,-75.46,274.26,2.6
Hithadhoo,76,MV,1583117720,73,-0.6,73.08,301.55,4.16
Castro,66,BR,1583117720,92,-24.79,-50.01,287.61,3.63
Sartell,90,US,1583117691,74,45.62,-94.21,275.15,7.2
Severo-Kuril'sk,98,RU,1583117720,96,50.68,156.12,270.67,0.52
Yeppoon,40,AU,1583117720,49,-23.13,150.73,305.15,2.1
Hirara,75,JP,1583117446,68,24.8,125.28,294.15,6.7
Mahébourg,75,MU,1583117720,94,-20.41,57.7,299.15,1.29
Hong Kong,40,HK,1583117628,73,22.29,114.16,296.48,9.8
Mouila,100,GA,1583117720,97,-1.87,11.06,296.14,0.35
San Cristobal,40,VE,1583117721,65,7.77,-72.22,301.15,2.1
Babati,100,TZ,1583117721,96,-4.22,35.75,291.97,1.07
Yakima,1,US,1583117458,39,46.47,-120.67,282.15,3.1
Erzurum Province,75,TR,1583117516,92,40.0,41.5,267.15,1.0
Lompoc,40,US,1583117721,81,34.64,-120.46,284.15,3.47
Mujiayingzi,4,CN,1583117721,27,42.12,118.78,272.06,5.07
Hambantota,100,LK,1583117721,94,6.12,81.12,299.15,1.5
Roebourne,5,AU,1583117721,40,-20.78,117.13,309.76,4.52
Dunedin,30,NZ,1583117721,74,-45.87,170.5,292.04,8.05
Grand-Lahou,25,CI,1583117721,86,5.14,-5.02,301.5,5.99
Puerto Escondido,20,MX,1583117721,74,15.85,-97.07,300.15,3.1
Vaini,20,TO,1583117722,74,-21.2,-175.2,302.15,4.6
Idrinskoye,0,RU,1583117722,87,54.37,92.14,261.91,1.11
Kingaroy,4,AU,1583117722,42,-26.53,151.83,307.04,1.5
Wattegama,35,LK,1583117722,94,6.8,81.48,299.15,1.5
Sobolevo,100,RU,1583117722,97,54.43,31.9,275.34,6.16
Aklavik,75,CA,1583117722,67,68.22,-135.01,243.15,1.5
Malanje,99,AO,1583117646,93,-9.54,16.34,290.32,1.46
Kahului,40,US,1583117722,78,20.89,-156.47,297.15,9.8
Puerto Ayora,0,EC,1583117722,100,-0.74,-90.35,300.37,3.58
Eura,90,FI,1583117722,97,61.13,22.13,276.48,1.0
Nhulunbuy,75,AU,1583117722,62,-12.23,136.77,305.15,5.7
Korla,0,CN,1583117722,82,41.76,86.15,283.15,0.45
Helong,100,CN,1583117722,76,42.54,129.0,269.58,1.39
Constitución,67,CL,1583117723,94,-35.33,-72.42,285.22,1.26
Qaqortoq,0,GL,1583117723,49,60.72,-46.03,256.15,1.0
Nelson Bay,1,AU,1583117723,25,-32.72,152.15,309.82,9.3
Bonavista,100,CA,1583117723,95,48.65,-53.11,271.15,10.81
Mapiripán,64,CO,1583117723,72,2.89,-72.13,299.68,1.29
Tuatapere,36,NZ,1583117723,24,-46.13,167.68,296.99,2.81
Michigan City,1,US,1583117723,100,41.71,-86.89,284.15,4.1
Thessalon,40,CA,1583117723,80,46.25,-83.57,274.15,3.1
Maningrida,70,AU,1583117723,77,-12.07,134.27,302.4,5.15
Comodoro Rivadavia,0,AR,1583117723,67,-45.87,-67.5,290.15,6.58
Ati,0,TD,1583117724,13,13.22,18.34,298.67,5.37
Mehamn,94,NO,1583117724,81,71.04,27.85,265.2,4.83
Mabaruma,100,GY,1583117724,95,8.2,-59.78,293.42,0.8
Ugoofaaru,18,MV,1583117724,70,5.67,73.0,300.89,3.61
Fairbanks,90,US,1583117479,84,64.84,-147.72,261.48,3.1
Alta Floresta,100,BR,1583117724,94,-9.88,-56.09,296.27,0.72
Zhuhai,40,CN,1583117724,88,22.28,113.57,296.48,7.7
Uglich,100,RU,1583117724,96,57.53,38.33,275.19,4.07
Twentynine Palms,20,US,1583117592,37,34.14,-116.05,289.15,9.3
Makakilo City,75,US,1583117724,60,21.35,-158.09,299.15,8.7
Portsmouth,73,GB,1583117724,100,50.8,-1.09,280.37,3.6
Soverato Marina,40,IT,1583117725,82,38.69,16.55,288.15,4.1
Airai,94,TL,1583117725,64,-8.93,125.41,300.24,2.05
Tahe,100,CN,1583117725,79,52.33,124.73,265.93,1.36
Libertador General San Martín,45,AR,1583117725,80,-23.81,-64.79,295.93,2.68
Nālūt,0,LY,1583117725,26,30.33,10.85,287.76,4.64
Thompson,90,CA,1583117572,78,55.74,-97.86,261.15,4.6
Ostrovnoy,100,RU,1583117725,83,68.05,39.51,261.78,2.4
Tateyama,75,JP,1583117725,100,34.98,139.87,281.15,5.1
Provideniya,0,RU,1583117725,60,64.38,-173.3,260.15,2.0
Lavrentiya,0,RU,1583117725,80,65.58,-171.0,251.78,2.71
Lagoa Vermelha,0,BR,1583117725,89,-28.21,-51.53,288.1,4.51
Rach Gia,75,VN,1583117726,78,10.02,105.08,301.15,4.1
Huarmey,100,PE,1583117726,77,-10.07,-78.15,295.34,1.01
Maxixe,97,MZ,1583117726,68,-23.86,35.35,296.66,3.59
Coyhaique,0,CL,1583117726,72,-45.58,-72.07,288.15,1.5
Labuhan,15,ID,1583117726,75,-6.88,112.21,302.72,2.95
Yamada,100,JP,1583117726,76,39.47,141.95,278.01,1.48
Hofn,100,IS,1583117726,68,64.25,-15.21,276.3,17.07
Fortuna,1,US,1583117726,70,40.6,-124.16,283.15,6.2
Nakasongola,67,UG,1583117726,81,1.31,32.46,293.75,2.19
Fukuechō,20,JP,1583117726,58,32.69,128.84,285.15,6.7
Natal,75,BR,1583117726,100,-5.79,-35.21,298.15,1.0
Marystown,100,CA,1583117727,93,47.17,-55.15,270.38,11.19
Yangi Marg`ilon,90,UZ,1583117727,80,40.43,71.72,278.15,2.1
Ancud,0,CL,1583117727,82,-41.87,-73.82,286.15,3.6
Otradnoye,75,RU,1583117727,86,59.78,30.82,276.48,3.0
Mount Gambier,90,AU,1583117727,63,-37.83,140.77,290.15,7.7
Vic,20,ES,1583117727,66,41.93,2.25,289.26,5.7
Daru,100,PG,1583117727,73,-9.08,143.21,304.06,1.63
Yar-Sale,99,RU,1583117727,93,66.83,70.83,265.01,6.74
Saldanha,0,ZA,1583117727,88,-33.01,17.94,290.15,5.7
Oranjemund,54,NA,1583117727,87,-28.55,16.43,292.14,2.99
Tabuk,3,PH,1583117727,64,17.42,121.44,300.17,1.99
Kavaratti,40,IN,1583117728,78,10.57,72.64,301.15,2.1
Cockburn Town,99,TC,1583117728,74,21.46,-71.14,296.2,10.16
Clyde River,1,CA,1583117728,65,70.47,-68.59,236.15,1.0
Chernyshevskiy,12,RU,1583117728,92,63.01,112.47,255.56,0.79
Sande,20,DE,1583117728,86,53.5,8.01,277.59,3.1
George Town,20,MY,1583117728,70,5.41,100.34,303.15,4.1
Darnah,79,LY,1583117703,58,32.77,22.64,288.95,0.9
Srandakan,0,ID,1583117728,66,-7.94,110.25,303.33,1.31
Det Udom,94,TH,1583117728,58,14.91,105.08,302.15,2.6
Goribidnūr,40,IN,1583117728,94,13.61,77.52,294.15,2.1
Chumikan,34,RU,1583117728,76,54.72,135.31,266.33,0.84
Ponta Delgada,75,PT,1583117728,93,37.73,-25.67,290.15,7.7
Corrales,75,US,1583117728,49,35.24,-106.61,285.15,2.1
Maniitsoq,0,GL,1583117729,68,65.42,-52.9,254.47,1.92
Yerbogachën,15,RU,1583117729,90,61.28,108.01,256.49,1.53
Aktash,6,RU,1583117729,66,50.3,87.73,265.88,3.04
Mannārakkāt,40,IN,1583117729,78,10.98,76.47,299.15,1.5
Sāmba,0,IN,1583117729,59,32.57,75.12,289.97,0.74
Dingle,70,PH,1583117729,66,11.0,122.67,301.28,5.8
Teguise,3,ES,1583117729,88,29.06,-13.56,291.15,4.6
Banff,100,CA,1583117729,94,51.18,-115.57,260.42,3.69
Buala,37,SB,1583117729,65,-8.14,159.59,303.62,2.19
Ürümqi,99,CN,1583117660,92,43.8,87.6,271.15,2.0
Saint George,67,US,1583117575,42,37.1,-113.58,287.15,9.3
The Valley,20,AI,1583117730,78,18.22,-63.06,298.15,2.1
Uvarovo,94,RU,1583117730,81,51.98,42.26,272.86,5.08
Miraflores,90,MX,1583117730,37,19.22,-98.81,295.15,3.1
Lincoln,1,US,1583117562,69,40.8,-96.67,280.15,4.6
Muisne,99,EC,1583117730,93,0.6,-80.03,297.73,1.52
Goiás,51,BR,1583117730,95,-15.58,-49.64,294.1,0.39
Geraldton,100,AU,1583117730,40,-28.77,114.6,304.15,10.3
Marabba,1,SD,1583117730,15,12.35,32.18,293.4,4.37
Norman Wells,75,CA,1583117730,70,65.28,-126.83,255.15,2.6
Bilibino,83,RU,1583117730,96,68.05,166.44,252.3,1.26
Jalu,0,LY,1583117730,45,29.03,21.55,287.51,2.87
Bambous Virieux,75,MU,1583117730,94,-20.34,57.76,299.15,2.92
Rabaul,0,PG,1583117731,70,-4.2,152.17,302.57,2.1
Boca do Acre,100,BR,1583117731,98,-8.75,-67.4,293.87,0.66
Lorengau,23,PG,1583117731,74,-2.02,147.27,302.24,2.49
Tanakpur,0,IN,1583117731,56,29.08,80.12,292.62,1.45
Lázaro Cárdenas,6,MX,1583117731,76,17.96,-102.2,296.79,0.73
Komarichi,91,RU,1583117731,79,52.42,34.79,274.87,7.46
Khedbrahma,0,IN,1583117731,33,24.03,73.05,295.11,1.56
Aitape,33,PG,1583117731,68,-3.14,142.35,302.46,3.16
Wanning,45,CN,1583117731,75,18.8,110.4,298.33,2.92
Sørland,40,NO,1583117731,64,67.67,12.69,273.13,14.06
Shitkino,0,RU,1583117731,91,56.37,98.35,260.69,2.1
Sharlyk,1,RU,1583117732,97,52.92,54.75,262.55,0.87
Waynesville,1,US,1583117732,45,35.49,-82.99,282.15,3.1
Saint-François,100,FR,1583117732,87,46.42,3.91,279.26,1.0
Malbork,33,PL,1583117732,100,54.04,19.03,278.71,1.5
Olafsvik,100,IS,1583117732,65,64.89,-23.71,274.3,8.48
Nicoya,20,CR,1583117732,58,10.15,-85.45,301.15,8.2
Antalaha,100,MG,1583117732,79,-14.9,50.28,299.79,6.84
Port Blair,27,IN,1583117732,69,11.67,92.75,300.39,4.13
Manama,5,BH,1583117732,88,26.22,50.58,292.15,2.6
Ambilobe,82,MG,1583117732,90,-13.2,49.05,296.65,2.88
Mumford,17,GH,1583117732,90,5.26,-0.76,298.92,1.59
Madang,93,PG,1583117732,72,-5.22,145.8,301.35,3.86
Quelimane,100,MZ,1583117733,86,-17.88,36.89,296.27,2.96
Mossamedes,27,AO,1583117733,79,-15.2,12.15,296.58,8.38
Kampene,100,CD,1583117733,99,-3.6,26.67,292.48,0.76
Shimoda,75,JP,1583117733,100,34.67,138.95,283.71,9.3
Khovd,0,MN,1583117733,59,48.01,91.64,265.93,1.12
Kieta,2,PG,1583117733,69,-6.22,155.63,302.42,3.43
Sladkovo,100,RU,1583117733,94,55.53,70.34,270.63,4.53
Mezen',100,RU,1583117733,86,65.85,44.24,263.08,4.26
Bukachacha,100,RU,1583117733,79,52.98,116.92,262.8,2.18
Bengkulu,0,ID,1583117522,54,-3.8,102.27,304.8,0.25
Klaksvík,100,FO,1583117733,74,62.23,-6.59,275.15,8.2
Semey,98,KZ,1583117733,79,50.41,80.23,270.15,6.0
Sabang,35,ID,1583117734,74,5.89,95.32,301.1,6.87
Mana,85,GF,1583117734,92,5.66,-53.78,295.52,1.13
Cuencamé de Ceniceros,88,MX,1583117734,21,24.87,-103.7,294.91,3.59
Vila Franca do Campo,75,PT,1583117734,93,37.72,-25.43,290.15,7.7
Kenai,75,US,1583117734,92,60.55,-151.26,272.04,4.31
Nandu,100,CN,1583117734,73,22.85,110.82,301.48,3.01
Banjar,0,ID,1583117734,73,-8.19,114.97,301.37,1.78
Pallasovka,0,RU,1583117734,62,50.05,46.88,274.02,2.67
Pisco,90,PE,1583117734,83,-13.7,-76.22,297.15,5.7
Kamaishi,75,JP,1583117734,69,39.27,141.88,277.15,2.6
Buraidah,0,SA,1583117734,61,26.33,43.98,283.15,2.6
Susa,0,IR,1583117734,73,32.19,48.24,284.53,0.52
Zhezkazgan,90,KZ,1583117735,100,47.8,67.71,267.15,2.0
Wukari,3,NG,1583117735,70,7.85,9.78,299.44,2.63
Atbasar,100,KZ,1583117735,94,51.8,68.33,268.63,3.96
Mahenge,100,TZ,1583117735,96,-8.68,36.72,294.43,1.22
Aswān,0,EG,1583117735,38,24.09,32.91,284.37,5.13
Guymon,1,US,1583117735,55,36.68,-101.48,287.15,5.7
Sinazongwe,76,ZM,1583117735,74,-17.26,27.46,294.04,3.56
Storsteinnes,99,NO,1583117735,84,69.24,19.23,268.15,3.1
Grindavik,75,IS,1583117735,69,63.84,-22.43,275.15,13.4
Conde,90,BR,1583117735,94,-7.26,-34.91,299.15,2.1
Megion,75,RU,1583117735,86,61.03,76.11,272.15,3.0
Santa Isabel Rio Negro,85,BR,1583117736,98,-0.41,-65.02,296.86,1.69
Omboué,100,GA,1583117736,98,-1.57,9.26,297.29,1.52
Mata,100,PT,1583117736,96,40.68,-7.46,285.37,8.94
Homer,90,US,1583117736,82,59.64,-151.55,275.15,2.6
Sakakah,0,SA,1583117736,66,29.97,40.21,282.15,2.6
Matadi,100,CD,1583117736,93,-5.82,13.45,295.73,0.78
Presidente Médici,99,BR,1583117736,97,-11.18,-61.9,295.64,1.2
Bose,3,IT,1583117736,69,45.46,8.01,278.15,0.5
Matara,100,LK,1583117565,67,5.95,80.54,300.49,2.31
São Miguel do Araguaia,97,BR,1583117736,92,-13.28,-50.16,296.19,1.22
Muros,75,ES,1583117736,93,42.78,-9.06,287.04,5.7
Kiryat Gat,75,IL,1583117737,82,31.61,34.76,286.15,3.1
Grand Gaube,75,MU,1583117703,94,-20.01,57.66,299.15,3.31
Khani,75,GE,1583117737,100,41.96,42.96,279.15,1.5
Shiyan,100,CN,1583117737,65,32.65,110.78,281.11,2.25
Cairns,83,AU,1583117560,55,-16.92,145.77,307.04,2.6
Marabu,75,MY,1583117737,79,4.41,114.01,303.15,3.6
Srednekolymsk,52,RU,1583117737,82,67.45,153.68,256.45,3.35
Emba,0,KZ,1583117737,87,48.83,58.14,264.31,4.85
Lucapa,100,AO,1583117737,89,-8.42,20.74,291.45,1.23
Tezu,100,IN,1583117737,36,27.92,96.17,293.8,1.32
Vestmannaeyjar,100,IS,1583117737,73,63.44,-20.27,276.84,20.74
Vrangel',100,RU,1583117738,66,42.73,133.08,271.72,5.02
Bonga,74,ET,1583117738,63,7.28,36.23,287.82,0.94
Half Moon Bay,1,US,1583117738,71,37.46,-122.43,288.15,1.5
Saint Anthony,90,US,1583117718,64,45.02,-93.22,276.15,4.6
Nome,1,US,1583117738,65,64.5,-165.41,260.15,2.1
Turaif,4,SA,1583117738,100,31.67,38.66,278.15,2.1
Betioky,0,MG,1583117738,84,-23.72,44.38,292.24,2.41
Burns Lake,87,CA,1583117738,86,54.23,-125.75,270.1,3.66
Vila Velha,75,BR,1583117688,100,-20.33,-40.29,296.15,3.1
Tal'menka,100,RU,1583117738,85,53.82,83.57,268.15,4.0
Jaora,0,IN,1583117738,35,23.63,75.13,293.92,2.01
Sorrento,58,IT,1583117738,81,40.63,14.37,287.04,2.6
Elwood,75,AU,1583117739,45,-37.88,144.98,292.59,8.7
Pizarro,100,CO,1583117739,82,4.95,-77.37,300.21,3.67
Aulla,34,IT,1583117739,83,44.21,9.97,284.82,3.18
Ambovombe,44,MG,1583117739,92,-25.17,46.08,292.62,3.58
Menongue,29,AO,1583117739,68,-14.66,17.69,286.71,1.99
Sur,0,OM,1583117739,63,22.57,59.53,292.77,3.89
Puerto Lempira,49,HN,1583117739,80,15.27,-83.77,298.93,8.84
Paamiut,10,GL,1583117739,61,61.99,-49.67,252.21,4.42
Alofi,7,NU,1583117739,74,-19.06,-169.92,302.15,4.6
Camacha,40,PT,1583117739,88,33.08,-16.33,291.15,5.7
Harihar,98,IN,1583117739,67,14.52,75.8,296.56,1.46
Moerai,100,PF,1583117739,82,-22.43,-151.33,299.8,7.42
Nanortalik,0,GL,1583117740,58,60.14,-45.24,265.1,20.13
Mission,1,US,1583117484,68,26.22,-98.33,296.48,6.2
Viişoara,90,RO,1583117740,65,46.55,23.92,280.37,4.1
St. Marys,1,US,1583117740,71,30.73,-81.55,287.15,2.6
Bilma,2,NE,1583117740,15,18.69,12.92,293.9,4.67
Floresta,87,BR,1583117740,60,-8.6,-38.57,299.49,6.34
Milos,23,GR,1583117740,93,36.75,24.43,284.15,3.1
Sikonge,100,TZ,1583117740,94,-5.63,32.77,291.6,1.38
Safaga,0,EG,1583117740,50,26.73,33.94,287.15,4.6
Wuda,0,CN,1583117740,29,39.5,106.71,274.7,13.03
Bubaque,0,GW,1583117740,66,11.28,-15.83,300.65,1.76
Myski,63,RU,1583117694,89,53.71,87.8,267.92,1.83
Bermeo,75,ES,1583117741,93,43.42,-2.72,285.93,2.1
Nagorsk,100,RU,1583117741,95,59.32,50.81,269.84,5.34
Banda Aceh,35,ID,1583117741,58,5.56,95.32,302.89,3.3
Morgan City,75,US,1583117741,88,29.7,-91.21,291.15,5.7
Himatnagar,0,IN,1583117540,55,23.6,72.95,292.15,3.24
Swift Current,1,CA,1583117708,85,50.28,-107.8,266.15,4.6
Gazojak,0,TM,1583117741,70,41.19,61.4,281.02,4.77
Skjervøy,100,NO,1583117741,71,70.03,20.97,270.2,6.22
Maţāy,0,EG,1583117659,82,28.42,30.78,283.0,3.52
